date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:58	124322/124322	---M--	200	added ('OK')	image/jpeg	etag:%221e5a2-5f571d6b4062e%22	https://wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/2023/02/paral_06-1024x683.jpg	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/2023/02/paral_06-1024x683.jpg	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:59	9980/9980	---MCZ	200	added ('OK')	text/css	etag:W/%2226fc-5fce8cd54c341%22	https://wedding.nicdark.com/wedding-planner/wp-content/plugins/elementor-pro/assets/css/widget-theme-elements.min.css	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/plugins/elementor-pro/assets/css/widget-theme-elements.min.css	(from https://wedding.nicdark.com/wedding-planner/find-your-perfect-fit/)
21:07:59	19185/19185	---MCZ	200	added ('OK')	text/css	etag:W/%224af1-5fd1517935406%22	https://wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/elementor/css/post-4556.css?ver=1685641915	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/elementor/css/post-45569b4b.css	(from https://wedding.nicdark.com/wedding-planner/contact/)
21:08:00	21915/21915	---MCZ	200	added ('OK')	application/json	date:Fri,%2001%20Dec%202023%2020:08:01%20GMT	https://wedding.nicdark.com/wedding-planner/wp-json/wp/v2/pages/4556	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-json/wp/v2/pages/4556.json	(from https://wedding.nicdark.com/wedding-planner/contact/)
21:08:00	2202/2202	---MCZ	200	added ('OK')	application/json	date:Fri,%2001%20Dec%202023%2020:08:02%20GMT	https://wedding.nicdark.com/wedding-planner/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwedding.nicdark.com%2Fwedding-planner%2Fcontact%2F	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-json/oembed/1.0/embed055b.json	(from https://wedding.nicdark.com/wedding-planner/contact/)
21:08:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Dec%202023%2020:08:02%20GMT	https://wedding.nicdark.com/wedding-planner/?p=4556	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/indexd92e.html	(from https://wedding.nicdark.com/wedding-planner/contact/)
21:08:01	2355/2355	---MCZ	200	added ('OK')	text/xml	date:Fri,%2001%20Dec%202023%2020:08:03%20GMT	https://wedding.nicdark.com/wedding-planner/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwedding.nicdark.com%2Fwedding-planner%2Fcontact%2F&format=xml	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-json/oembed/1.0/embed28aa	(from https://wedding.nicdark.com/wedding-planner/contact/)
21:08:01	26277/26277	---MCZ	200	added ('OK')	text/css	etag:W/%2266a5-5fd24db926cc7%22	https://wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/elementor/css/post-4557.css?ver=1685709628	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-content/uploads/sites/3/elementor/css/post-4557f456.css	(from https://wedding.nicdark.com/wedding-planner/cost-calculator/)
21:08:02	90342/90342	---MCZ	200	added ('OK')	application/json	date:Fri,%2001%20Dec%202023%2020:08:04%20GMT	https://wedding.nicdark.com/wedding-planner/wp-json/wp/v2/pages/4557	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-json/wp/v2/pages/4557.json	(from https://wedding.nicdark.com/wedding-planner/cost-calculator/)
21:08:03	2242/2242	---MCZ	200	added ('OK')	application/json	date:Fri,%2001%20Dec%202023%2020:08:05%20GMT	https://wedding.nicdark.com/wedding-planner/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwedding.nicdark.com%2Fwedding-planner%2Fcost-calculator%2F	C:/Users/hp/Desktop/Mine/weeding%20plan/wedding.nicdark.com/wedding-planner/wp-json/oembed/1.0/embedac9e.json	(from https://wedding.nicdark.com/wedding-planner/cost-calculator/)
